timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:55:38.743197,True,AIPlayer,3,AIPlayer,4,BLUE,43,21,43,21,0.032,31,1.0,13.414,29,462.5
2025-12-11T16:55:54.412506,False,AIPlayer,4,AIPlayer,3,BLUE,53,11,53,11,15.657,31,505.1,0.003,29,0.1
2025-12-11T16:56:12.377402,True,AIPlayer,3,AIPlayer,4,BLUE,41,23,41,23,0.014,30,0.5,17.941,30,598.0
2025-12-11T16:56:25.683837,False,AIPlayer,4,AIPlayer,3,BLUE,53,11,53,11,13.293,33,402.8,0.003,27,0.1
2025-12-11T16:56:37.101638,True,AIPlayer,3,AIPlayer,4,PINK,10,54,54,10,0.014,30,0.5,11.394,30,379.8
2025-12-11T16:56:49.697286,False,AIPlayer,4,AIPlayer,3,BLUE,46,18,46,18,12.584,30,419.5,0.003,30,0.1
2025-12-11T16:57:03.326242,True,AIPlayer,3,AIPlayer,4,PINK,17,47,47,17,0.014,30,0.5,13.606,30,453.5
2025-12-11T16:57:18.623121,False,AIPlayer,4,AIPlayer,3,BLUE,53,11,53,11,15.285,30,509.5,0.003,30,0.1
2025-12-11T16:57:27.118254,True,AIPlayer,3,AIPlayer,4,PINK,26,38,38,26,0.014,30,0.5,8.471,30,282.4
2025-12-11T16:57:42.038039,False,AIPlayer,4,AIPlayer,3,BLUE,41,23,41,23,14.91,30,497.0,0.003,30,0.1
2025-12-11T16:57:57.343692,True,AIPlayer,3,AIPlayer,4,PINK,11,53,53,11,0.014,29,0.5,15.282,31,493.0
2025-12-11T16:58:12.479147,False,AIPlayer,4,AIPlayer,3,BLUE,41,23,41,23,15.123,30,504.1,0.003,30,0.1
2025-12-11T16:58:24.168388,True,AIPlayer,3,AIPlayer,4,BLUE,42,22,42,22,0.015,31,0.5,11.664,29,402.2
2025-12-11T16:58:39.434939,False,AIPlayer,4,AIPlayer,3,BLUE,53,11,53,11,15.255,30,508.5,0.003,30,0.1
2025-12-11T16:58:47.910884,True,AIPlayer,3,AIPlayer,4,PINK,31,33,33,31,0.014,30,0.5,8.452,30,281.7
2025-12-11T16:59:03.152453,False,AIPlayer,4,AIPlayer,3,BLUE,49,15,49,15,15.231,31,491.3,0.003,29,0.1
2025-12-11T16:59:18.848508,True,AIPlayer,3,AIPlayer,4,PINK,6,58,58,6,0.014,30,0.5,15.673,30,522.4
2025-12-11T16:59:34.121540,False,AIPlayer,4,AIPlayer,3,BLUE,53,11,53,11,15.261,30,508.7,0.003,30,0.1
2025-12-11T16:59:45.566106,True,AIPlayer,3,AIPlayer,4,BLUE,43,21,43,21,0.014,31,0.5,11.421,29,393.8
2025-12-11T16:59:58.808361,False,AIPlayer,4,AIPlayer,3,BLUE,53,11,53,11,13.231,33,400.9,0.002,27,0.1
2025-12-11T17:00:14.145249,True,AIPlayer,3,AIPlayer,4,PINK,11,53,53,11,0.014,29,0.5,15.313,31,494.0
2025-12-11T17:00:29.386260,False,AIPlayer,4,AIPlayer,3,BLUE,49,15,49,15,15.228,31,491.2,0.003,29,0.1
