timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:22:06.900368,True,RandomAI,-,AIPlayer,3,PINK,11,53,53,11,0.001,30,0.0,1.399,30,46.6
2025-12-11T16:22:08.411042,False,AIPlayer,3,RandomAI,-,BLUE,60,4,60,4,1.502,30,50.1,0.001,30,0.0
2025-12-11T16:22:09.848860,True,RandomAI,-,AIPlayer,3,PINK,15,49,49,15,0.001,29,0.0,1.43,31,46.1
2025-12-11T16:22:12.149593,False,AIPlayer,3,RandomAI,-,BLUE,50,14,50,14,2.293,31,74.0,0.001,29,0.0
2025-12-11T16:22:14.761523,True,RandomAI,-,AIPlayer,3,PINK,23,41,41,23,0.001,30,0.0,2.604,30,86.8
2025-12-11T16:22:16.483163,False,AIPlayer,3,RandomAI,-,BLUE,47,17,47,17,1.714,30,57.1,0.001,30,0.0
2025-12-11T16:22:18.548082,True,RandomAI,-,AIPlayer,3,PINK,21,43,43,21,0.001,31,0.0,2.057,29,70.9
2025-12-11T16:22:20.274706,False,AIPlayer,3,RandomAI,-,BLUE,51,13,51,13,1.719,31,55.5,0.001,29,0.0
2025-12-11T16:22:22.245782,True,RandomAI,-,AIPlayer,3,PINK,17,47,47,17,0.001,29,0.0,1.963,31,63.3
2025-12-11T16:22:23.673247,False,AIPlayer,3,RandomAI,-,BLUE,48,16,48,16,1.42,30,47.3,0.001,30,0.0
2025-12-11T16:22:25.759062,True,RandomAI,-,AIPlayer,3,PINK,12,52,52,12,0.001,29,0.0,2.078,31,67.0
2025-12-11T16:22:27.984936,False,AIPlayer,3,RandomAI,-,BLUE,47,17,47,17,2.219,30,74.0,0.001,30,0.0
2025-12-11T16:22:29.368881,True,RandomAI,-,AIPlayer,3,PINK,13,51,51,13,0.001,30,0.0,1.376,30,45.9
2025-12-11T16:22:31.242767,False,AIPlayer,3,RandomAI,-,BLUE,43,21,43,21,1.867,31,60.2,0.001,29,0.0
2025-12-11T16:22:32.352845,True,RandomAI,-,AIPlayer,3,PINK,10,54,54,10,0.001,30,0.0,1.103,30,36.8
2025-12-11T16:22:33.768833,False,AIPlayer,3,RandomAI,-,BLUE,39,25,39,25,1.408,31,45.4,0.001,29,0.0
