variant,use_tt,use_move_ordering,depth,time_sec,nodes_explored,rss_delta_mb,tracemalloc_peak_kb,tt_size,score
"Base (pas TT, pas MO)",False,False,2,0.004,15,0.0,1,0,-1.25
TT seulement,True,False,2,0.004,15,0.0,1,1,-1.25
Move Ordering seulement,False,True,2,0.004,15,0.0,1,0,-1.25
TT + Move Ordering (complet),True,True,2,0.005,15,0.09,1,1,-1.25
"Base (pas TT, pas MO)",False,False,3,0.016,49,0.03,1,0,3.8
TT seulement,True,False,3,0.014,49,0.0,5,5,3.8
Move Ordering seulement,False,True,3,0.016,50,0.0,0,0,3.8
TT + Move Ordering (complet),True,True,3,0.019,50,0.0,2,5,3.8
"Base (pas TT, pas MO)",False,False,4,0.041,149,0.02,1,0,-1.45
TT seulement,True,False,4,0.043,149,0.02,10,14,-1.45
Move Ordering seulement,False,True,4,0.042,150,0.0,1,0,-1.45
TT + Move Ordering (complet),True,True,4,0.042,150,0.0,3,14,-1.45
