timestamp,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-08T11:01:44.143776,RandomAI,-,AIPlayer,3,PINK,12,52,52,12,0.008,30,0.3,13.292,30,443.1
2025-12-08T11:02:01.090750,RandomAI,-,AIPlayer,3,PINK,12,52,52,12,0.01,29,0.4,16.879,31,544.5
2025-12-08T11:02:23.351562,RandomAI,-,AIPlayer,3,PINK,15,49,49,15,0.009,30,0.3,22.2,30,740.0
2025-12-08T11:02:46.269318,RandomAI,-,AIPlayer,3,PINK,16,48,48,16,0.009,29,0.3,22.855,31,737.3
2025-12-08T11:03:03.702305,RandomAI,-,AIPlayer,3,PINK,9,55,55,9,0.012,30,0.4,17.367,30,578.9
2025-12-08T11:03:28.964569,RandomAI,-,AIPlayer,3,PINK,12,52,52,12,0.009,28,0.3,25.195,32,787.4
2025-12-08T11:03:49.272278,RandomAI,-,AIPlayer,3,PINK,15,49,49,15,0.011,30,0.4,20.237,30,674.6
2025-12-08T11:04:11.223597,RandomAI,-,AIPlayer,3,PINK,10,54,54,10,0.009,30,0.3,21.881,30,729.4
2025-12-08T11:04:27.131705,RandomAI,-,AIPlayer,3,PINK,19,45,45,19,0.009,30,0.3,15.843,30,528.1
2025-12-08T11:04:41.567979,RandomAI,-,AIPlayer,3,PINK,8,56,56,8,0.012,29,0.4,14.368,31,463.5
